epoch,accuracy,loss
0,0.5608465671539307,1.2055474519729614
1,0.5502645373344421,1.1630403995513916
2,0.5714285969734192,0.8977153301239014
3,0.5502645373344421,0.9023666977882385
4,0.5978835821151733,0.8441094160079956
5,0.60317462682724,0.7548550367355347
6,0.5978835821151733,0.7541259527206421
7,0.5714285969734192,0.7517117261886597
8,0.6613756418228149,0.640875518321991
9,0.6402116417884827,0.7556176781654358
10,0.6719576716423035,0.5955193042755127
11,0.6349206566810608,0.6519116163253784
12,0.7037037014961243,0.5857526063919067
13,0.7460317611694336,0.5424962639808655
14,0.7089946866035461,0.592283308506012
15,0.7037037014961243,0.569545567035675
16,0.7936508059501648,0.470181405544281
17,0.6878306865692139,0.5829324722290039
18,0.761904776096344,0.4735710620880127
19,0.7883597612380981,0.46024107933044434
20,0.7513227462768555,0.5185433626174927
21,0.7513227462768555,0.4884819984436035
22,0.7513227462768555,0.4928227663040161
23,0.7460317611694336,0.5080866813659668
24,0.7883597612380981,0.4151163697242737
25,0.8306878209114075,0.4311816394329071
26,0.8253968358039856,0.4335133731365204
27,0.7724867463111877,0.4332472085952759
28,0.7989417910575867,0.4141891598701477
29,0.841269850730896,0.37662720680236816
30,0.8042327761650085,0.41851499676704407
31,0.841269850730896,0.3822856545448303
32,0.8730158805847168,0.35767287015914917
33,0.8306878209114075,0.39865145087242126
34,0.820105791091919,0.3800603747367859
35,0.8518518805503845,0.35568007826805115
36,0.8835979104042053,0.3533031642436981
37,0.7989417910575867,0.3576198220252991
38,0.8730158805847168,0.34237509965896606
39,0.9047619104385376,0.28294068574905396
40,0.8518518805503845,0.34146323800086975
41,0.8677248954772949,0.29229098558425903
42,0.8835979104042053,0.30460596084594727
43,0.8835979104042053,0.28521737456321716
44,0.8677248954772949,0.30970460176467896
45,0.9153439402580261,0.2572997212409973
46,0.9100528955459595,0.264597624540329
47,0.9047619104385376,0.23289655148983002
48,0.8888888955116272,0.24947835505008698
49,0.9100528955459595,0.23382538557052612
0,0.7777777910232544,0.43976089358329773
1,0.8095238208770752,0.45858147740364075
2,0.8095238208770752,0.4570924937725067
3,0.8571428656578064,0.4081125557422638
4,0.841269850730896,0.3721044361591339
5,0.8359788656234741,0.3769402801990509
6,0.8253968358039856,0.3539399206638336
7,0.8783068656921387,0.3187626004219055
8,0.8253968358039856,0.34029334783554077
9,0.8888888955116272,0.2944542467594147
10,0.8730158805847168,0.37115636467933655
11,0.8835979104042053,0.2589789032936096
12,0.8677248954772949,0.29796677827835083
13,0.8994709253311157,0.2540094256401062
14,0.8941798806190491,0.2645419239997864
15,0.8888888955116272,0.29869818687438965
16,0.8994709253311157,0.2575152814388275
