epoch,accuracy,f1_m,loss,precision_m,recall_m
0,0.42328041791915894,0.6904995441436768,1.1213575601577759,0.5319684147834778,1.0
1,0.5396825671195984,0.6938051581382751,1.0634305477142334,0.5346623659133911,1.0
2,0.5185185074806213,0.6912371516227722,0.9364094138145447,0.5346623659133911,1.0
3,0.5132275223731995,0.6946913599967957,0.9268718361854553,0.5341235995292664,1.0
4,0.5502645373344421,0.6959301829338074,0.9340701103210449,0.5352011322975159,1.0
5,0.5978835821151733,0.6907958388328552,0.7491189241409302,0.5341235995292664,1.0
6,0.6243386268615723,0.6941902041435242,0.7394727468490601,0.5357399582862854,1.0
7,0.6349206566810608,0.6922879219055176,0.7175284028053284,0.5357399582862854,1.0
8,0.6296296119689941,0.6949818134307861,0.785630464553833,0.5341235995292664,1.0
9,0.6402116417884827,0.6941213011741638,0.6690787076950073,0.5352011322975159,1.0
10,0.6613756418228149,0.6922276616096497,0.6842653155326843,0.5341235995292664,1.0
11,0.7195767164230347,0.6953880190849304,0.5824151635169983,0.5357399582862854,1.0
12,0.7142857313156128,0.6926178336143494,0.5649411082267761,0.5335847735404968,1.0
13,0.7301587462425232,0.6912025809288025,0.5598160028457642,0.5330459475517273,1.0
14,0.7037037014961243,0.6913755536079407,0.5689073204994202,0.5330459475517273,1.0
15,0.6878306865692139,0.6948453783988953,0.6629953384399414,0.5346623659133911,1.0
16,0.7407407164573669,0.6935253739356995,0.4819590747356415,0.5357399582862854,1.0
17,0.6931216716766357,0.694291889667511,0.6009658575057983,0.5346623659133911,1.0
18,0.7142857313156128,0.6937839984893799,0.4972837269306183,0.5341235995292664,1.0
19,0.7936508059501648,0.6898159384727478,0.4205457866191864,0.5341235995292664,1.0
20,0.7513227462768555,0.6927440762519836,0.5129672884941101,0.5330459475517273,1.0
21,0.7724867463111877,0.6958585381507874,0.48488321900367737,0.5341235995292664,1.0
22,0.7724867463111877,0.6892194151878357,0.5209876298904419,0.5335847735404968,1.0
23,0.8042327761650085,0.6936902403831482,0.45308414101600647,0.5341235995292664,1.0
24,0.8042327761650085,0.6844502091407776,0.4963984489440918,0.530351996421814,1.0
