epoch,accuracy,f1_m,loss,precision_m,recall_m
0,0.49735450744628906,0.7018306255340576,1.0133838653564453,0.5497485995292664,1.0
1,0.5079365372657776,0.705284059047699,0.947318434715271,0.5486709475517273,1.0
2,0.5714285969734192,0.7071275115013123,0.9249780178070068,0.5492097735404968,1.0
3,0.5185185074806213,0.7094006538391113,0.9140617847442627,0.5508261322975159,1.0
4,0.60317462682724,0.7095180153846741,0.7328020334243774,0.5513649582862854,1.0
5,0.6296296119689941,0.704725444316864,0.7100754976272583,0.5497485995292664,1.0
6,0.6084656119346619,0.7074612975120544,0.7295894026756287,0.5502873659133911,1.0
7,0.7142857313156128,0.7096295952796936,0.6227791905403137,0.5502873659133911,1.0
8,0.6455026268959045,0.7060067057609558,0.66306072473526,0.5492097735404968,1.0
9,0.6349206566810608,0.7017636895179749,0.7075801491737366,0.5497485995292664,1.0
10,0.6878306865692139,0.704797089099884,0.6249357461929321,0.5508261322975159,1.0
11,0.7142857313156128,0.7073131203651428,0.5781674981117249,0.5524425506591797,1.0
12,0.7195767164230347,0.704933226108551,0.5907720327377319,0.5492097735404968,1.0
13,0.7724867463111877,0.7065175175666809,0.5004597306251526,0.5502873659133911,1.0
14,0.7142857313156128,0.703711986541748,0.5752679109573364,0.5508261322975159,1.0
15,0.7671957612037659,0.7082694172859192,0.49564486742019653,0.5502873659133911,1.0
16,0.7248677015304565,0.7047984600067139,0.5267015099525452,0.5513649582862854,1.0
17,0.7301587462425232,0.7030240893363953,0.5679666996002197,0.5497485995292664,1.0
18,0.7460317611694336,0.7016966342926025,0.5049172639846802,0.5481321811676025,1.0
19,0.7830687761306763,0.7080108523368835,0.4791308641433716,0.5508261322975159,1.0
20,0.7460317611694336,0.7071404457092285,0.5023524165153503,0.5508261322975159,1.0
21,0.8306878209114075,0.7024161219596863,0.38669878244400024,0.553520143032074,1.0
22,0.7460317611694336,0.7029033303260803,0.4723256826400757,0.5492097735404968,1.0
23,0.7883597612380981,0.7041928172111511,0.4452758729457855,0.5486709475517273,1.0
24,0.7989417910575867,0.7060046195983887,0.4454784393310547,0.5502873659133911,1.0
25,0.8253968358039856,0.7089138031005859,0.4152980148792267,0.5502873659133911,1.0
26,0.841269850730896,0.7083337903022766,0.33549964427948,0.5502873659133911,1.0
27,0.8253968358039856,0.7084624171257019,0.39906710386276245,0.5502873659133911,1.0
28,0.8095238208770752,0.7054440379142761,0.42163994908332825,0.5492097735404968,1.0
29,0.8359788656234741,0.7001752257347107,0.3770449459552765,0.5486709475517273,1.0
30,0.820105791091919,0.7053006291389465,0.37146997451782227,0.5492097735404968,1.0
31,0.841269850730896,0.7092299461364746,0.3659813702106476,0.5508261322975159,1.0
32,0.8306878209114075,0.704897940158844,0.37050244212150574,0.5519037246704102,1.0
33,0.8465608358383179,0.7072791457176208,0.3714057207107544,0.5508261322975159,1.0
34,0.8677248954772949,0.704730212688446,0.35191604495048523,0.5519037246704102,1.0
35,0.8518518805503845,0.7080880999565125,0.31627514958381653,0.5502873659133911,1.0
36,0.8730158805847168,0.7093793749809265,0.3124678134918213,0.5513649582862854,1.0
37,0.8571428656578064,0.6988277435302734,0.35192063450813293,0.5486709475517273,1.0
38,0.841269850730896,0.7059938907623291,0.3546934723854065,0.5497485995292664,1.0
39,0.8730158805847168,0.7089459300041199,0.29189908504486084,0.5502873659133911,1.0
40,0.8571428656578064,0.7062031626701355,0.3257976174354553,0.5529813170433044,1.0
41,0.9100528955459595,0.7097749710083008,0.2626655697822571,0.5508261322975159,1.0
42,0.8888888955116272,0.7086495757102966,0.2991212010383606,0.5524425506591797,1.0
43,0.8730158805847168,0.7061994671821594,0.2867942154407501,0.5497485995292664,1.0
44,0.9153439402580261,0.7084441184997559,0.26219379901885986,0.5524425506591797,1.0
45,0.8783068656921387,0.7091947197914124,0.3041083812713623,0.5524425506591797,1.0
46,0.8941798806190491,0.7071275115013123,0.25915399193763733,0.5492097735404968,1.0
47,0.8571428656578064,0.7076725959777832,0.3152600824832916,0.5492097735404968,1.0
48,0.9047619104385376,0.7074890732765198,0.23550808429718018,0.5502873659133911,1.0
49,0.9523809552192688,0.70670485496521,0.19280236959457397,0.5519037246704102,1.0
0,0.8253968358039856,0.7094228863716125,0.36290857195854187,0.5508261322975159,1.0
1,0.820105791091919,0.7036393284797668,0.4077637791633606,0.5486709475517273,1.0
2,0.8306878209114075,0.7078989148139954,0.35808834433555603,0.5524425506591797,1.0
3,0.7989417910575867,0.7068994641304016,0.37200242280960083,0.5519037246704102,1.0
4,0.8677248954772949,0.7058594822883606,0.34718504548072815,0.5497485995292664,1.0
5,0.841269850730896,0.7060112953186035,0.3484323024749756,0.5492097735404968,1.0
6,0.8730158805847168,0.7097749710083008,0.26604732871055603,0.5508261322975159,1.0
7,0.8783068656921387,0.7062904238700867,0.2640286087989807,0.5513649582862854,1.0
8,0.9100528955459595,0.7087528705596924,0.24487103521823883,0.5502873659133911,1.0
9,0.9047619104385376,0.7063712477684021,0.24987542629241943,0.5513649582862854,1.0
10,0.9100528955459595,0.7047181725502014,0.22565272450447083,0.5508261322975159,1.0
11,0.8888888955116272,0.7075960636138916,0.26301515102386475,0.5508261322975159,1.0
12,0.8994709253311157,0.7092881202697754,0.2668478488922119,0.5502873659133911,1.0
13,0.9153439402580261,0.7056165337562561,0.22670061886310577,0.5524425506591797,1.0
14,0.920634925365448,0.7078110575675964,0.21152101457118988,0.5519037246704102,1.0
15,0.8994709253311157,0.7064626216888428,0.21884439885616302,0.5492097735404968,1.0
16,0.8941798806190491,0.7078590393066406,0.250252366065979,0.5508261322975159,1.0
17,0.9365079402923584,0.7066901326179504,0.20781221985816956,0.5519037246704102,1.0
18,0.9312169551849365,0.704857587814331,0.21162545680999756,0.5486709475517273,1.0
19,0.920634925365448,0.7071868777275085,0.24303928017616272,0.5486709475517273,1.0
20,0.9259259104728699,0.7075672149658203,0.16809965670108795,0.5513649582862854,1.0
21,0.9259259104728699,0.7022181153297424,0.18466231226921082,0.5475934147834778,1.0
22,0.9417989253997803,0.7045989036560059,0.15080849826335907,0.5481321811676025,1.0
23,0.9417989253997803,0.705998420715332,0.15122628211975098,0.5513649582862854,1.0
24,0.9470899701118469,0.7097110152244568,0.1557971090078354,0.5513649582862854,1.0
25,0.9259259104728699,0.7042536735534668,0.1949048489332199,0.5519037246704102,1.0
26,0.9576719403266907,0.7030677795410156,0.14831237494945526,0.5486709475517273,1.0
27,0.9259259104728699,0.7065972685813904,0.2134229838848114,0.5513649582862854,1.0
28,0.9365079402923584,0.7087597250938416,0.16513139009475708,0.5497485995292664,1.0
29,0.9523809552192688,0.7054843902587891,0.13367240130901337,0.5486709475517273,1.0
30,0.9735449552536011,0.7064406275749207,0.10547490417957306,0.5524425506591797,1.0
31,0.9417989253997803,0.7053906321525574,0.15660081803798676,0.5513649582862854,1.0
32,0.9576719403266907,0.7077015042304993,0.1351439505815506,0.5497485995292664,1.0
33,0.9576719403266907,0.7078506946563721,0.12373480945825577,0.5508261322975159,1.0
34,0.9523809552192688,0.7054843902587891,0.11337138712406158,0.5486709475517273,1.0
35,0.9312169551849365,0.7087145447731018,0.17479579150676727,0.5513649582862854,1.0
36,0.9417989253997803,0.7028951048851013,0.13743561506271362,0.5492097735404968,1.0
37,0.9629629850387573,0.6974868178367615,0.1180020272731781,0.5465157628059387,1.0
38,0.9682539701461792,0.7094606757164001,0.12100959569215775,0.5519037246704102,1.0
39,0.9523809552192688,0.7076725959777832,0.13881532847881317,0.5492097735404968,1.0
40,0.9576719403266907,0.7052390575408936,0.11553317308425903,0.5529813170433044,1.0
41,0.9576719403266907,0.7094385027885437,0.11224702000617981,0.5519037246704102,1.0
42,0.9682539701461792,0.7093588709831238,0.10187399387359619,0.5513649582862854,1.0
43,0.9576719403266907,0.7031272053718567,0.11033644527196884,0.5486709475517273,1.0
44,0.9682539701461792,0.7033066749572754,0.09276080131530762,0.5508261322975159,1.0
45,0.9788359999656677,0.709069013595581,0.08160778135061264,0.5508261322975159,1.0
46,0.9576719403266907,0.7083424925804138,0.10880438983440399,0.5508261322975159,1.0
47,0.9365079402923584,0.708716869354248,0.10734977573156357,0.5508261322975159,1.0
48,0.9629629850387573,0.708246648311615,0.10931145399808884,0.5497485995292664,1.0
49,0.9576719403266907,0.7069903016090393,0.12579816579818726,0.5497485995292664,1.0
0,0.9523809552192688,0.7029380202293396,0.12959615886211395,0.5486709475517273,1.0
1,0.9365079402923584,0.7034369111061096,0.175903782248497,0.5497485995292664,1.0
2,0.9417989253997803,0.7015941143035889,0.15652278065681458,0.5497485995292664,1.0
3,0.9417989253997803,0.7087751030921936,0.12411753088235855,0.5502873659133911,1.0
4,0.9417989253997803,0.7003185749053955,0.15639366209506989,0.5486709475517273,1.0
5,0.9523809552192688,0.7081728577613831,0.10950133949518204,0.5502873659133911,1.0
6,0.9523809552192688,0.7084250450134277,0.13903525471687317,0.5513649582862854,1.0
7,0.9417989253997803,0.7060046195983887,0.12792973220348358,0.5502873659133911,1.0
8,0.9576719403266907,0.7062031626701355,0.13105539977550507,0.5529813170433044,1.0
9,0.9629629850387573,0.707158088684082,0.12487021833658218,0.5524425506591797,1.0
10,0.9682539701461792,0.7039139270782471,0.10258015990257263,0.5486709475517273,1.0
11,0.9735449552536011,0.7069904208183289,0.10195125639438629,0.5497485995292664,1.0
12,0.9576719403266907,0.7081365585327148,0.13506188988685608,0.5524425506591797,1.0
13,0.9735449552536011,0.7084280848503113,0.08570078015327454,0.5497485995292664,1.0
14,0.9788359999656677,0.7086496353149414,0.08690746128559113,0.5524425506591797,1.0
15,0.9629629850387573,0.7050206065177917,0.09563063830137253,0.5497485995292664,1.0
16,0.9735449552536011,0.7078590393066406,0.09959781169891357,0.5508261322975159,1.0
17,0.9682539701461792,0.7058184146881104,0.08278808742761612,0.5492097735404968,1.0
18,0.9470899701118469,0.705132246017456,0.10255352407693863,0.5486709475517273,1.0
19,0.9735449552536011,0.708606481552124,0.07412132620811462,0.5513649582862854,1.0
20,0.9788359999656677,0.708820641040802,0.07844514399766922,0.5508261322975159,1.0
21,0.9629629850387573,0.7017852663993835,0.10155084729194641,0.5492097735404968,1.0
22,0.9735449552536011,0.7001319527626038,0.07819169014692307,0.5513649582862854,1.0
23,0.9576719403266907,0.703568160533905,0.09047294408082962,0.5492097735404968,1.0
24,0.9841269850730896,0.7068657875061035,0.07044333964586258,0.5519037246704102,1.0
25,1.0,0.7058594822883606,0.04937790706753731,0.5497485995292664,1.0
26,1.0,0.7093793749809265,0.046749547123909,0.5513649582862854,1.0
27,0.9894179701805115,0.7069475054740906,0.07188113033771515,0.5508261322975159,1.0
28,0.9682539701461792,0.7045996785163879,0.0780668780207634,0.5513649582862854,1.0
29,0.9841269850730896,0.7037231922149658,0.055785149335861206,0.5475934147834778,1.0
30,0.9841269850730896,0.7068347334861755,0.05183454975485802,0.5486709475517273,1.0
31,0.9894179701805115,0.6973665356636047,0.06862947344779968,0.5492097735404968,1.0
32,0.9523809552192688,0.6983070969581604,0.0914216935634613,0.5486709475517273,1.0
33,0.9841269850730896,0.7080536484718323,0.059830233454704285,0.5497485995292664,1.0
34,0.9894179701805115,0.7068437933921814,0.03655087575316429,0.5497485995292664,1.0
35,0.9894179701805115,0.7083401679992676,0.04739686846733093,0.5513649582862854,1.0
36,0.9841269850730896,0.7073858380317688,0.06225108727812767,0.5524425506591797,1.0
37,1.0,0.7085821032524109,0.03428839147090912,0.5502873659133911,1.0
38,0.9894179701805115,0.7053754329681396,0.051154039800167084,0.5508261322975159,1.0
39,0.9947090148925781,0.6957201361656189,0.04620570316910744,0.5470545887947083,1.0
40,0.9841269850730896,0.7075190544128418,0.036825064569711685,0.5508261322975159,1.0
41,0.9841269850730896,0.7017960548400879,0.062056757509708405,0.5508261322975159,1.0
42,0.9894179701805115,0.7093588709831238,0.0320996418595314,0.5513649582862854,1.0
43,0.9841269850730896,0.7090485095977783,0.04705693945288658,0.5508261322975159,1.0
44,0.9841269850730896,0.7084007263183594,0.04111800715327263,0.5502873659133911,1.0
