epoch,accuracy,f1_m,loss,precision_m,recall_m
0,0.801047146320343,0.7061683535575867,0.4782960116863251,0.5497311949729919,1.0
1,0.801047146320343,0.7072959542274475,0.46407508850097656,0.5493951439857483,1.0
2,0.8429319262504578,0.7050797343254089,0.37040841579437256,0.5488911271095276,1.0
3,0.8376963138580322,0.7067483067512512,0.4025256633758545,0.5500671863555908,1.0
4,0.8272251486778259,0.7069141268730164,0.397095650434494,0.549899160861969,1.0
5,0.8324607610702515,0.7046400904655457,0.37189456820487976,0.5495631694793701,1.0
6,0.8586387634277344,0.6990786194801331,0.3435443639755249,0.5509072542190552,1.0
7,0.8900523781776428,0.7089959979057312,0.2621787190437317,0.5497311949729919,1.0
8,0.8795811533927917,0.7028353810310364,0.291572630405426,0.5493951439857483,1.0
9,0.8952879309654236,0.7077991366386414,0.27410438656806946,0.5497311949729919,1.0
10,0.8900523781776428,0.7066311836242676,0.3075370490550995,0.5493951439857483,1.0
11,0.8952879309654236,0.7069752216339111,0.2513924837112427,0.5500671863555908,1.0
12,0.9214659929275513,0.7046699523925781,0.24144315719604492,0.5504032373428345,1.0
13,0.9319371581077576,0.7073280811309814,0.2023153305053711,0.5493951439857483,1.0
14,0.8743455410003662,0.7033296227455139,0.2618068754673004,0.5500671863555908,1.0
15,0.8848167657852173,0.702280580997467,0.25345149636268616,0.5507392287254333,1.0
16,0.926701545715332,0.7076250910758972,0.21981695294380188,0.5497311949729919,1.0
17,0.8952879309654236,0.7035382390022278,0.20650459825992584,0.5497311949729919,1.0
18,0.9109947681427002,0.7024438381195068,0.2180071920156479,0.5495631694793701,1.0
19,0.9214659929275513,0.7073125839233398,0.22024419903755188,0.549899160861969,1.0
20,0.9528796076774597,0.7074623107910156,0.1345980018377304,0.5502352118492126,1.0
21,0.9109947681427002,0.7033578753471375,0.1918625384569168,0.5502352118492126,1.0
22,0.9109947681427002,0.7064273953437805,0.19512002170085907,0.549899160861969,1.0
23,0.9528796076774597,0.7048768401145935,0.14487095177173615,0.5497311949729919,1.0
24,0.9581151604652405,0.7076250910758972,0.1732584834098816,0.5497311949729919,1.0
25,0.9371727705001831,0.7061670422554016,0.1844932734966278,0.5490591526031494,1.0
26,0.9214659929275513,0.7087039947509766,0.16636265814304352,0.549899160861969,1.0
27,0.963350772857666,0.7035849094390869,0.1246710866689682,0.5493951439857483,1.0
28,0.9528796076774597,0.7058005332946777,0.1372421681880951,0.5497311949729919,1.0
29,0.9476439952850342,0.7039727568626404,0.13870704174041748,0.5495631694793701,1.0
30,0.9685863852500916,0.7066311836242676,0.11609652638435364,0.5493951439857483,1.0
31,0.963350772857666,0.7065427899360657,0.12485804408788681,0.5497311949729919,1.0
32,0.9842932224273682,0.7042955756187439,0.11468052119016647,0.5504032373428345,1.0
33,0.9476439952850342,0.7067160606384277,0.1327010542154312,0.5493951439857483,1.0
34,0.9738219976425171,0.7067716717720032,0.10579350590705872,0.5495631694793701,1.0
35,0.9738219976425171,0.7062729001045227,0.10288655757904053,0.5502352118492126,1.0
36,0.9685863852500916,0.7044057846069336,0.11173151433467865,0.5493951439857483,1.0
37,0.9528796076774597,0.7067796587944031,0.1207120418548584,0.549899160861969,1.0
38,0.9738219976425171,0.7083294987678528,0.1034930944442749,0.549899160861969,1.0
39,0.9790576100349426,0.7072904109954834,0.09350758045911789,0.549899160861969,1.0
40,0.9581151604652405,0.7040390968322754,0.10652212798595428,0.5497311949729919,1.0
41,0.9738219976425171,0.7054610848426819,0.08003652840852737,0.5490591526031494,1.0
42,0.9738219976425171,0.7074889540672302,0.08370156586170197,0.5493951439857483,1.0
43,0.963350772857666,0.7074623107910156,0.10755658894777298,0.5502352118492126,1.0
44,0.9738219976425171,0.7022181153297424,0.07042782753705978,0.5495631694793701,1.0
45,0.9895287752151489,0.7051137089729309,0.06937334686517715,0.549899160861969,1.0
46,0.9738219976425171,0.7042081952095032,0.06964036822319031,0.5504032373428345,1.0
47,0.9685863852500916,0.7058435082435608,0.0869850441813469,0.5493951439857483,1.0
48,0.9842932224273682,0.7034255862236023,0.07276678830385208,0.5502352118492126,1.0
49,0.9738219976425171,0.7063114047050476,0.10539914667606354,0.549899160861969,1.0
0,0.8691099286079407,0.7058616280555725,0.3455684781074524,0.5497311949729919,1.0
1,0.9057591557502747,0.7038619518280029,0.2846943736076355,0.5505712628364563,1.0
2,0.8952879309654236,0.7086612582206726,0.24774035811424255,0.549899160861969,1.0
3,0.9214659929275513,0.7010183334350586,0.22152391076087952,0.5504032373428345,1.0
4,0.8952879309654236,0.703524112701416,0.2164733111858368,0.5492271780967712,1.0
5,0.9214659929275513,0.7087180614471436,0.20594064891338348,0.5500671863555908,1.0
6,0.9528796076774597,0.7084166407585144,0.1282549351453781,0.5502352118492126,1.0
7,0.9162303805351257,0.7055227756500244,0.19146910309791565,0.5500671863555908,1.0
8,0.9476439952850342,0.7056958079338074,0.12837575376033783,0.549899160861969,1.0
9,0.9424083828926086,0.7052727341651917,0.1298539787530899,0.5500671863555908,1.0
10,0.9685863852500916,0.7050163149833679,0.09810354560613632,0.5504032373428345,1.0
11,0.9738219976425171,0.704312801361084,0.11843513697385788,0.5490591526031494,1.0
12,0.963350772857666,0.7058402895927429,0.09577932208776474,0.549899160861969,1.0
13,0.9424083828926086,0.7066577076911926,0.14219103753566742,0.5492271780967712,1.0
14,0.963350772857666,0.7058741450309753,0.10013318806886673,0.5504032373428345,1.0
15,0.9685863852500916,0.708148181438446,0.10445737838745117,0.549899160861969,1.0
16,0.9476439952850342,0.7032758593559265,0.10985472053289413,0.5495631694793701,1.0
17,0.9738219976425171,0.7077991366386414,0.08893860131502151,0.5497311949729919,1.0
18,0.963350772857666,0.7009212970733643,0.09934200346469879,0.5492271780967712,1.0
19,0.9790576100349426,0.7023504376411438,0.06835144013166428,0.5488911271095276,1.0
20,0.9842932224273682,0.7076250910758972,0.059887535870075226,0.5497311949729919,1.0
21,0.963350772857666,0.703140914440155,0.10107281804084778,0.5492271780967712,1.0
22,0.9685863852500916,0.7072277069091797,0.07349260151386261,0.5495631694793701,1.0
23,0.9738219976425171,0.7080633044242859,0.08428536355495453,0.5495631694793701,1.0
24,0.9842932224273682,0.708148181438446,0.06585952639579773,0.549899160861969,1.0
25,1.0,0.7075286507606506,0.04376386106014252,0.5500671863555908,1.0
26,0.9895287752151489,0.7056587338447571,0.05282404646277428,0.549899160861969,1.0
27,0.9790576100349426,0.7091772556304932,0.06077631562948227,0.5497311949729919,1.0
28,0.9895287752151489,0.7068960070610046,0.05710182711482048,0.5495631694793701,1.0
29,0.9738219976425171,0.7066239714622498,0.07698076963424683,0.5497311949729919,1.0
30,0.9842932224273682,0.7040660381317139,0.0551745779812336,0.5490591526031494,1.0
31,0.9895287752151489,0.7064580917358398,0.051192112267017365,0.549899160861969,1.0
32,0.9842932224273682,0.7061147689819336,0.04414162039756775,0.549899160861969,1.0
33,0.9947643876075745,0.7070798873901367,0.04213447868824005,0.5497311949729919,1.0
34,0.9738219976425171,0.7065743803977966,0.07373221963644028,0.5500671863555908,1.0
35,0.9895287752151489,0.7050385475158691,0.044921670109033585,0.5493951439857483,1.0
36,0.9790576100349426,0.7053213119506836,0.050980065017938614,0.549899160861969,1.0
37,0.9790576100349426,0.7078924775123596,0.055126745253801346,0.5495631694793701,1.0
38,0.9895287752151489,0.7079105377197266,0.05254646763205528,0.549899160861969,1.0
39,0.9947643876075745,0.707806408405304,0.04644474759697914,0.5497311949729919,1.0
40,0.9895287752151489,0.7054334282875061,0.038359299302101135,0.5493951439857483,1.0
41,0.9947643876075745,0.7075392603874207,0.04312187805771828,0.5497311949729919,1.0
42,0.9947643876075745,0.7082464098930359,0.02683628536760807,0.5495631694793701,1.0
43,0.9947643876075745,0.7072613835334778,0.03170308098196983,0.5500671863555908,1.0
44,0.9842932224273682,0.7068743705749512,0.04003945738077164,0.5497311949729919,1.0
45,1.0,0.7070557475090027,0.03701760619878769,0.5497311949729919,1.0
46,0.9842932224273682,0.7065427899360657,0.04012979567050934,0.5497311949729919,1.0
47,1.0,0.7065691947937012,0.031089311465620995,0.5497311949729919,1.0
48,0.9947643876075745,0.7076135277748108,0.03483996540307999,0.5500671863555908,1.0
49,0.9842932224273682,0.7079995274543762,0.03350820392370224,0.5497311949729919,1.0
0,0.9424083828926086,0.7084376215934753,0.12917959690093994,0.5495631694793701,1.0
1,0.8900523781776428,0.7001981139183044,0.1973540037870407,0.5490591526031494,1.0
2,0.9581151604652405,0.7064919471740723,0.11115220934152603,0.5504032373428345,1.0
3,0.9738219976425171,0.7069404721260071,0.09093818068504333,0.549899160861969,1.0
4,0.9319371581077576,0.7064273953437805,0.1307489275932312,0.549899160861969,1.0
